expected_index,actual_index,side,expected_timestamp_utc,actual_timestamp_utc,expected_exit_timestamp_utc,actual_exit_timestamp_utc,expected_entry_price,actual_entry_price,expected_exit_price,actual_exit_price,expected_pnl_pips,actual_pnl_pips,expected_exit_reason,actual_exit_reason,exit_reason_match,expected_stop_loss_price,actual_stop_loss_price,expected_take_profit_price,actual_take_profit_price,expected_same_bar_collision,actual_same_bar_collision,same_bar_collision_match,expected_collision_resolution,entry_price_delta_pips,exit_price_delta_pips,fill_delta_pips,close_timing_delta_seconds,breach_entry_price,breach_exit_price,breach_fill_delta,breach_close_timing,breach_exit_reason,breach_same_bar_collision,breach_any,likely_cause
0,1,short,2025-10-01T15:10:00Z,2025-10-01T15:10:00Z,2025-10-01T15:21:00Z,2025-10-01T15:21:40Z,1.17513,1.17513,1.17368,1.17368,14.5,14.5,take_profit,take_profit,True,1.17583,1.17583,1.17368,1.17368,False,False,True,,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
1,2,long,2025-10-01T15:35:00Z,2025-10-01T15:36:00Z,2025-10-01T15:46:00Z,2025-10-01T15:46:57Z,1.17524,1.17525,1.17454,1.17453,-7.0,-7.2,stop_loss,stop_loss,True,1.17454,1.17455,1.17669,1.1767,False,False,True,,0.1,0.1,0.2,57.0,False,False,False,False,False,False,False,within_tolerance
2,3,short,2025-10-01T16:08:00Z,2025-10-01T16:08:00Z,2025-10-01T16:19:00Z,2025-10-01T16:19:28Z,1.17391,1.17391,1.17246,1.17244,14.5,14.7,take_profit,take_profit,True,1.17461,1.17461,1.17246,1.17246,False,False,True,,0.0,0.2,0.2,28.0,False,False,False,False,False,False,False,within_tolerance
3,4,long,2025-10-01T16:39:00Z,2025-10-01T16:39:01Z,2025-10-01T16:51:00Z,2025-10-01T16:51:15Z,1.17301,1.17301,1.17231,1.17231,-7.0,-7.0,stop_loss,stop_loss,True,1.17231,1.17231,1.17446,1.17446,False,False,True,,0.0,0.0,0.0,15.0,False,False,False,False,False,False,False,within_tolerance
4,5,short,2025-10-01T16:59:00Z,2025-10-01T16:59:00Z,2025-10-01T17:53:00Z,2025-10-01T17:53:00Z,1.17247,1.17247,1.17215,1.17215,3.2,3.2,timeout,timeout,True,1.17317,1.17317,1.17102,1.17102,False,False,True,,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,within_tolerance
5,6,short,2025-10-02T14:46:00Z,2025-10-02T14:46:00Z,2025-10-02T15:05:00Z,2025-10-02T15:05:39Z,1.17278,1.17278,1.17133,1.17131,14.5,14.7,take_profit,take_profit,True,1.17348,1.17348,1.17133,1.17133,False,False,True,,0.0,0.2,0.2,39.0,False,False,False,False,False,False,False,within_tolerance
6,7,short,2025-10-02T16:20:00Z,2025-10-02T16:20:00Z,2025-10-02T17:09:00Z,2025-10-02T17:09:26Z,1.16956,1.16956,1.17026,1.17026,-7.0,-7.0,stop_loss,stop_loss,True,1.17026,1.17026,1.16811,1.16811,False,False,True,,0.0,0.0,0.0,26.0,False,False,False,False,False,False,False,within_tolerance
7,8,short,2025-10-03T15:19:00Z,2025-10-03T15:19:00Z,2025-10-03T16:13:00Z,2025-10-03T16:13:00Z,1.17455,1.17455,1.17388,1.17388,6.7,6.7,timeout,timeout,True,1.17525,1.17525,1.1731,1.1731,False,False,True,,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,within_tolerance
9,10,long,2025-10-06T15:12:00Z,2025-10-06T15:12:00Z,2025-10-06T15:21:00Z,2025-10-06T15:21:04Z,1.17042,1.17042,1.16972,1.16969,-7.0,-7.3,stop_loss,stop_loss,True,1.16972,1.16972,1.17187,1.17187,False,False,True,,0.0,0.3,0.3,4.0,False,False,False,False,False,False,False,within_tolerance
10,11,long,2025-10-06T16:00:00Z,2025-10-06T16:01:00Z,2025-10-06T16:25:00Z,2025-10-06T16:30:03Z,1.17166,1.17157,1.17096,1.17086,-7.0,-7.1,stop_loss,stop_loss,True,1.17096,1.17087,1.17311,1.17302,False,False,True,,0.9,1.0,0.1,303.0,True,True,False,True,False,False,True,exit_timing_and_price_drift
11,12,long,2025-10-07T14:10:00Z,2025-10-07T14:10:03Z,2025-10-07T14:14:00Z,2025-10-07T14:14:54Z,1.1669,1.1669,1.1662,1.16618,-7.0,-7.2,stop_loss,stop_loss,True,1.1662,1.1662,1.16835,1.16835,False,False,True,,0.0,0.2,0.2,54.0,False,False,False,False,False,False,False,within_tolerance
12,13,short,2025-10-07T15:00:00Z,2025-10-07T14:59:00Z,2025-10-07T15:54:00Z,2025-10-07T15:53:00Z,1.16602,1.16612,1.1659,1.16592,1.2,2.0,timeout,timeout,True,1.16672,1.16682,1.16457,1.16467,False,False,True,,1.0,0.2,0.8,60.0,True,False,True,False,False,False,True,pnl_fill_drift
13,14,long,2025-10-07T16:23:00Z,2025-10-07T16:23:00Z,2025-10-07T17:17:00Z,2025-10-07T17:17:00Z,1.16739,1.16739,1.16776,1.16776,3.7,3.7,timeout,timeout,True,1.16669,1.16669,1.16884,1.16884,False,False,True,,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,within_tolerance
14,15,short,2025-10-08T14:27:00Z,2025-10-08T14:27:00Z,2025-10-08T15:21:00Z,2025-10-08T15:21:00Z,1.1635,1.1635,1.1632,1.1632,3.0,3.0,timeout,timeout,True,1.1642,1.1642,1.16205,1.16205,False,False,True,,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,within_tolerance
15,16,short,2025-10-08T15:59:00Z,2025-10-08T15:59:00Z,2025-10-08T16:49:00Z,2025-10-08T16:49:22Z,1.16234,1.16234,1.16089,1.16089,14.5,14.5,take_profit,take_profit,True,1.16304,1.16304,1.16089,1.16089,False,False,True,,0.0,0.0,0.0,22.0,False,False,False,False,False,False,False,within_tolerance
16,17,long,2025-10-09T14:31:00Z,2025-10-09T14:31:00Z,2025-10-09T14:36:00Z,2025-10-09T14:36:39Z,1.16129,1.16129,1.16059,1.16058,-7.0,-7.1,stop_loss,stop_loss,True,1.16059,1.16059,1.16274,1.16274,False,False,True,,0.0,0.1,0.1,39.0,False,False,False,False,False,False,False,within_tolerance
18,18,long,2025-10-09T14:55:00Z,2025-10-09T14:55:00Z,2025-10-09T15:00:00Z,2025-10-09T15:00:34Z,1.16019,1.16019,1.15949,1.15949,-7.0,-7.0,stop_loss,stop_loss,True,1.15949,1.15949,1.16164,1.16164,False,False,True,,0.0,0.0,0.0,34.0,False,False,False,False,False,False,False,within_tolerance
19,19,short,2025-10-09T15:13:00Z,2025-10-09T15:13:00Z,2025-10-09T15:26:00Z,2025-10-09T15:26:58Z,1.15938,1.15938,1.15793,1.15792,14.5,14.6,take_profit,take_profit,True,1.16008,1.16008,1.15793,1.15793,False,False,True,,0.0,0.1,0.1,58.0,False,False,False,False,False,False,False,within_tolerance
20,20,short,2025-10-09T15:30:00Z,2025-10-09T15:30:00Z,2025-10-09T15:51:00Z,2025-10-09T15:51:35Z,1.15803,1.15803,1.15873,1.15875,-7.0,-7.2,stop_loss,stop_loss,True,1.15873,1.15873,1.15658,1.15658,False,False,True,,0.0,0.2,0.2,35.0,False,False,False,False,False,False,False,within_tolerance
21,21,short,2025-10-09T16:11:00Z,2025-10-09T16:11:00Z,2025-10-09T16:17:00Z,2025-10-09T16:17:39Z,1.15677,1.15677,1.15747,1.15747,-7.0,-7.0,stop_loss,stop_loss,True,1.15747,1.15747,1.15532,1.15532,False,False,True,,0.0,0.0,0.0,39.0,False,False,False,False,False,False,False,within_tolerance
22,22,short,2025-10-09T16:27:00Z,2025-10-09T16:27:00Z,2025-10-09T16:40:00Z,2025-10-09T16:40:03Z,1.15645,1.15645,1.155,1.155,14.5,14.5,take_profit,take_profit,True,1.15715,1.15715,1.155,1.155,False,False,True,,0.0,0.0,0.0,3.0,False,False,False,False,False,False,False,within_tolerance
23,23,short,2025-10-09T16:44:00Z,2025-10-09T16:44:00Z,2025-10-09T16:53:00Z,2025-10-09T16:53:08Z,1.15509,1.15509,1.15579,1.1558,-7.0,-7.1,stop_loss,stop_loss,True,1.15579,1.15579,1.15364,1.15364,False,False,True,,0.0,0.1,0.1,8.0,False,False,False,False,False,False,False,within_tolerance
24,24,long,2025-10-09T16:55:00Z,2025-10-09T16:55:00Z,2025-10-09T17:49:00Z,2025-10-09T17:49:00Z,1.1556,1.1556,1.15584,1.15584,2.4,2.4,timeout,timeout,True,1.1549,1.1549,1.15705,1.15705,False,False,True,,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,within_tolerance
25,25,short,2025-10-10T14:29:00Z,2025-10-10T14:29:00Z,2025-10-10T15:05:00Z,2025-10-10T15:05:58Z,1.15663,1.15663,1.15733,1.15733,-7.0,-7.0,stop_loss,stop_loss,True,1.15733,1.15733,1.15518,1.15518,False,False,True,,0.0,0.0,0.0,58.0,False,False,False,False,False,False,False,within_tolerance
26,26,long,2025-10-10T15:44:00Z,2025-10-10T15:44:00Z,2025-10-10T16:03:00Z,2025-10-10T16:03:25Z,1.15738,1.15738,1.15883,1.15884,14.5,14.6,take_profit,take_profit,True,1.15668,1.15668,1.15883,1.15883,False,False,True,,0.0,0.1,0.1,25.0,False,False,False,False,False,False,False,within_tolerance
27,27,long,2025-10-10T16:11:00Z,2025-10-10T16:11:00Z,2025-10-10T16:28:00Z,2025-10-10T16:28:18Z,1.16111,1.16111,1.16256,1.16256,14.5,14.5,take_profit,take_profit,True,1.16041,1.16041,1.16256,1.16256,False,False,True,,0.0,0.0,0.0,18.0,False,False,False,False,False,False,False,within_tolerance
28,28,short,2025-10-10T16:42:00Z,2025-10-10T16:42:00Z,2025-10-10T17:36:00Z,2025-10-10T17:36:00Z,1.162,1.162,1.16114,1.16114,8.6,8.6,timeout,timeout,True,1.1627,1.1627,1.16055,1.16055,False,False,True,,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,within_tolerance
29,29,long,2025-10-13T14:04:00Z,2025-10-13T14:04:00Z,2025-10-13T14:58:00Z,2025-10-13T14:58:00Z,1.15691,1.15691,1.1576,1.1576,6.9,6.9,timeout,timeout,True,1.15621,1.15621,1.15836,1.15836,False,False,True,,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,within_tolerance
31,32,long,2025-10-14T14:31:00Z,2025-10-14T14:31:00Z,2025-10-14T15:25:00Z,2025-10-14T15:25:00Z,1.1575,1.1575,1.15809,1.15809,5.9,5.9,timeout,timeout,True,1.1568,1.1568,1.15895,1.15895,False,False,True,,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,within_tolerance
32,33,long,2025-10-14T15:29:00Z,2025-10-14T15:29:00Z,2025-10-14T15:57:00Z,2025-10-14T15:57:52Z,1.15828,1.15828,1.15973,1.15973,14.5,14.5,take_profit,take_profit,True,1.15758,1.15758,1.15973,1.15973,False,False,True,,0.0,0.0,0.0,52.0,False,False,False,False,False,False,False,within_tolerance
34,34,short,2025-10-15T15:08:00Z,2025-10-15T15:08:00Z,2025-10-15T16:02:00Z,2025-10-15T16:02:00Z,1.16232,1.16232,1.1623,1.1623,0.2,0.2,timeout,timeout,True,1.16302,1.16302,1.16087,1.16087,False,False,True,,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,within_tolerance
35,35,long,2025-10-15T16:47:00Z,2025-10-15T16:47:00Z,2025-10-15T16:49:00Z,2025-10-15T16:49:20Z,1.16453,1.16453,1.16383,1.16382,-7.0,-7.1,stop_loss,stop_loss,True,1.16383,1.16383,1.16598,1.16598,False,False,True,,0.0,0.1,0.1,20.0,False,False,False,False,False,False,False,within_tolerance
36,36,short,2025-10-15T16:56:00Z,2025-10-15T16:56:00Z,2025-10-15T17:48:00Z,2025-10-15T17:48:58Z,1.16332,1.16332,1.16402,1.16402,-7.0,-7.0,stop_loss,stop_loss,True,1.16402,1.16402,1.16187,1.16187,False,False,True,,0.0,0.0,0.0,58.0,False,False,False,False,False,False,False,within_tolerance
38,37,short,2025-10-17T15:10:00Z,2025-10-17T15:10:00Z,2025-10-17T15:42:00Z,2025-10-17T15:42:18Z,1.16629,1.16629,1.16699,1.16699,-7.0,-7.0,stop_loss,stop_loss,True,1.16699,1.16699,1.16484,1.16484,False,False,True,,0.0,0.0,0.0,18.0,False,False,False,False,False,False,False,within_tolerance
42,38,short,2025-10-21T14:50:00Z,2025-10-21T14:50:00Z,2025-10-21T14:55:00Z,2025-10-21T14:55:55Z,1.16065,1.16065,1.16135,1.16135,-7.0,-7.0,stop_loss,stop_loss,True,1.16135,1.16135,1.1592,1.1592,False,False,True,,0.0,0.0,0.0,55.0,False,False,False,False,False,False,False,within_tolerance
43,39,long,2025-10-21T14:58:00Z,2025-10-21T14:58:00Z,2025-10-21T15:39:00Z,2025-10-21T15:39:35Z,1.16118,1.16118,1.16048,1.16048,-7.0,-7.0,stop_loss,stop_loss,True,1.16048,1.16048,1.16263,1.16263,False,False,True,,0.0,0.0,0.0,35.0,False,False,False,False,False,False,False,within_tolerance
45,40,long,2025-10-22T14:13:00Z,2025-10-22T14:13:00Z,2025-10-22T15:07:00Z,2025-10-22T15:07:00Z,1.15865,1.15865,1.15939,1.15939,7.4,7.4,timeout,timeout,True,1.15795,1.15795,1.1601,1.1601,False,False,True,,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,within_tolerance
47,41,short,2025-10-22T16:25:00Z,2025-10-22T16:25:00Z,2025-10-22T17:19:00Z,2025-10-22T17:19:00Z,1.16113,1.16113,1.16158,1.16158,-4.5,-4.5,timeout,timeout,True,1.16183,1.16183,1.15968,1.15968,False,False,True,,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,within_tolerance
48,42,short,2025-10-23T15:47:00Z,2025-10-23T15:47:01Z,2025-10-23T16:41:00Z,2025-10-23T16:41:01Z,1.16137,1.16137,1.16082,1.16082,5.5,5.5,timeout,timeout,True,1.16207,1.16207,1.15992,1.15992,False,False,True,,0.0,0.0,0.0,1.0,False,False,False,False,False,False,False,within_tolerance
49,43,long,2025-10-24T14:00:00Z,2025-10-24T14:00:00Z,2025-10-24T14:22:00Z,2025-10-24T14:22:31Z,1.16344,1.16344,1.16274,1.16274,-7.0,-7.0,stop_loss,stop_loss,True,1.16274,1.16274,1.16489,1.16489,False,False,True,,0.0,0.0,0.0,31.0,False,False,False,False,False,False,False,within_tolerance
50,44,short,2025-10-24T14:52:00Z,2025-10-24T14:52:00Z,2025-10-24T15:12:00Z,2025-10-24T15:12:22Z,1.16232,1.16232,1.16302,1.16305,-7.0,-7.3,stop_loss,stop_loss,True,1.16302,1.16302,1.16087,1.16087,False,False,True,,0.0,0.3,0.3,22.0,False,False,False,False,False,False,False,within_tolerance
51,45,long,2025-10-24T15:19:00Z,2025-10-24T15:19:00Z,2025-10-24T15:30:00Z,2025-10-24T15:30:02Z,1.16315,1.16315,1.16245,1.16245,-7.0,-7.0,stop_loss,stop_loss,True,1.16245,1.16245,1.1646,1.1646,False,False,True,,0.0,0.0,0.0,2.0,False,False,False,False,False,False,False,within_tolerance
52,46,short,2025-10-24T15:33:00Z,2025-10-24T15:33:00Z,2025-10-24T16:11:00Z,2025-10-24T16:11:30Z,1.1625,1.1625,1.1632,1.1632,-7.0,-7.0,stop_loss,stop_loss,True,1.1632,1.1632,1.16105,1.16105,False,False,True,,0.0,0.0,0.0,30.0,False,False,False,False,False,False,False,within_tolerance
55,47,short,2025-10-28T16:36:00Z,2025-10-28T16:36:00Z,2025-10-28T16:40:00Z,2025-10-28T16:40:16Z,1.16543,1.16543,1.16613,1.16616,-7.0,-7.3,stop_loss,stop_loss,True,1.16613,1.16613,1.16398,1.16398,False,False,True,,0.0,0.3,0.3,16.0,False,False,False,False,False,False,False,within_tolerance
57,49,short,2025-10-30T14:31:00Z,2025-10-30T14:31:00Z,2025-10-30T14:45:00Z,2025-10-30T14:45:30Z,1.15807,1.15807,1.15662,1.15662,14.5,14.5,take_profit,take_profit,True,1.15877,1.15877,1.15662,1.15662,False,False,True,,0.0,0.0,0.0,30.0,False,False,False,False,False,False,False,within_tolerance
58,50,long,2025-10-30T15:27:00Z,2025-10-30T15:27:00Z,2025-10-30T15:56:00Z,2025-10-30T15:56:46Z,1.15638,1.15638,1.15783,1.15784,14.5,14.6,take_profit,take_profit,True,1.15568,1.15568,1.15783,1.15783,False,False,True,,0.0,0.1,0.1,46.0,False,False,False,False,False,False,False,within_tolerance
59,51,short,2025-10-30T16:33:00Z,2025-10-30T16:33:00Z,2025-10-30T17:27:00Z,2025-10-30T17:27:00Z,1.15801,1.15801,1.15738,1.15738,6.3,6.3,timeout,timeout,True,1.15871,1.15871,1.15656,1.15656,False,False,True,,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,within_tolerance
61,52,short,2025-10-31T16:11:00Z,2025-10-31T16:11:00Z,2025-10-31T17:05:00Z,2025-10-31T17:05:00Z,1.15362,1.15362,1.15283,1.15283,7.9,7.9,timeout,timeout,True,1.15432,1.15432,1.15217,1.15217,False,False,True,,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,within_tolerance
