expected_index,actual_index,side,expected_timestamp_utc,actual_timestamp_utc,expected_exit_timestamp_utc,actual_exit_timestamp_utc,expected_entry_price,actual_entry_price,expected_exit_price,actual_exit_price,expected_pnl_pips,actual_pnl_pips,expected_exit_reason,actual_exit_reason,exit_reason_match,expected_stop_loss_price,actual_stop_loss_price,expected_take_profit_price,actual_take_profit_price,expected_same_bar_collision,actual_same_bar_collision,same_bar_collision_match,expected_collision_resolution,entry_price_delta_pips,exit_price_delta_pips,fill_delta_pips,close_timing_delta_seconds,breach_entry_price,breach_exit_price,breach_fill_delta,breach_close_timing,breach_exit_reason,breach_same_bar_collision,breach_any,likely_cause
2,2,long,2025-10-01T14:27:00Z,2025-10-01T14:27:00Z,2025-10-01T15:10:00Z,2025-10-01T15:10:40Z,1.17558,1.17559,1.17458,1.17459,-10.0,-10.0,stop_loss,stop_loss,True,1.17458,1.17459,1.17758,1.17759,False,False,True,,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
3,3,short,2025-10-01T15:16:00Z,2025-10-01T15:16:00Z,2025-10-01T15:33:00Z,2025-10-01T15:32:40Z,1.17437,1.17437,1.17537,1.17537,-10.0,-10.0,stop_loss,stop_loss,True,1.17537,1.17537,1.17237,1.17237,False,False,True,,0.0,0.0,0.0,20.0,False,False,False,False,False,False,False,within_tolerance
5,4,long,2025-10-02T13:07:00Z,2025-10-02T13:07:00Z,2025-10-02T13:37:00Z,2025-10-02T13:35:40Z,1.1756,1.17561,1.1746,1.17461,-10.0,-10.0,stop_loss,stop_loss,True,1.1746,1.17461,1.1776,1.17761,False,False,True,,0.1,0.1,0.0,80.0,False,False,False,False,False,False,False,within_tolerance
6,5,long,2025-10-02T14:27:00Z,2025-10-02T14:27:00Z,2025-10-02T14:41:00Z,2025-10-02T14:41:40Z,1.17395,1.17396,1.17295,1.17296,-10.0,-10.0,stop_loss,stop_loss,True,1.17295,1.17296,1.17595,1.17596,False,False,True,,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
7,6,short,2025-10-02T14:46:00Z,2025-10-02T14:46:00Z,2025-10-02T15:12:00Z,2025-10-02T15:12:40Z,1.17279,1.17279,1.17079,1.17079,20.0,20.0,take_profit,take_profit,True,1.17379,1.17379,1.17079,1.17079,False,False,True,,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
8,7,long,2025-10-03T13:54:00Z,2025-10-03T13:54:00Z,2025-10-03T15:06:00Z,2025-10-03T15:06:40Z,1.17367,1.17368,1.17567,1.17568,20.0,20.0,take_profit,take_profit,True,1.17267,1.17268,1.17567,1.17568,False,False,True,,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
9,8,long,2025-10-03T15:09:00Z,2025-10-03T15:09:00Z,2025-10-03T15:28:00Z,2025-10-03T15:28:40Z,1.17513,1.17514,1.17413,1.17414,-10.0,-10.0,stop_loss,stop_loss,True,1.17413,1.17414,1.17713,1.17714,False,False,True,,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
10,9,short,2025-10-03T15:32:00Z,2025-10-03T15:32:00Z,2025-10-03T17:38:00Z,2025-10-03T17:38:00Z,1.17427,1.17427,1.1739,1.17391,3.7,3.6,timeout,timeout,True,1.17527,1.17527,1.17227,1.17227,False,False,True,,0.0,0.1,0.1,0.0,False,False,False,False,False,False,False,within_tolerance
11,10,long,2025-10-06T13:09:00Z,2025-10-06T13:09:00Z,2025-10-06T14:50:00Z,2025-10-06T14:50:40Z,1.16785,1.16786,1.16985,1.16986,20.0,20.0,take_profit,take_profit,True,1.16685,1.16686,1.16985,1.16986,False,False,True,,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
12,11,long,2025-10-06T15:12:00Z,2025-10-06T15:13:00Z,2025-10-06T17:18:00Z,2025-10-06T17:19:00Z,1.17042,1.17038,1.17061,1.17046,1.9,0.8,timeout,timeout,True,1.16942,1.16938,1.17242,1.17238,False,False,True,,0.4,1.5,1.1,60.0,True,True,True,False,False,False,True,pnl_fill_drift
14,14,long,2025-10-08T13:17:00Z,2025-10-08T13:17:00Z,2025-10-08T15:23:00Z,2025-10-08T15:23:00Z,1.16321,1.16322,1.1633,1.1633,0.9,0.8,timeout,timeout,True,1.16221,1.16222,1.16521,1.16522,False,False,True,,0.1,0.0,0.1,0.0,False,False,False,False,False,False,False,within_tolerance
15,15,short,2025-10-08T15:59:00Z,2025-10-08T15:59:00Z,2025-10-08T16:53:00Z,2025-10-08T16:53:40Z,1.16235,1.16235,1.16035,1.16035,20.0,20.0,take_profit,take_profit,True,1.16335,1.16335,1.16035,1.16035,False,False,True,,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
16,16,long,2025-10-09T13:45:00Z,2025-10-09T13:45:00Z,2025-10-09T14:40:00Z,2025-10-09T14:40:40Z,1.16136,1.16137,1.16036,1.16037,-10.0,-10.0,stop_loss,stop_loss,True,1.16036,1.16037,1.16336,1.16337,False,False,True,,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
17,17,short,2025-10-09T14:48:00Z,2025-10-09T14:48:00Z,2025-10-09T14:50:00Z,2025-10-09T14:50:40Z,1.15938,1.15938,1.16038,1.16038,-10.0,-10.0,stop_loss,stop_loss,True,1.16038,1.16038,1.15738,1.15738,False,False,True,,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
18,18,long,2025-10-09T14:55:00Z,2025-10-09T14:55:00Z,2025-10-09T15:02:00Z,2025-10-09T15:02:20Z,1.16019,1.1602,1.15919,1.1592,-10.0,-10.0,stop_loss,stop_loss,True,1.15919,1.1592,1.16219,1.1622,False,False,True,,0.1,0.1,0.0,20.0,False,False,False,False,False,False,False,within_tolerance
19,19,short,2025-10-09T15:12:00Z,2025-10-09T15:12:00Z,2025-10-09T16:05:00Z,2025-10-09T16:05:40Z,1.15945,1.15945,1.15745,1.15745,20.0,20.0,take_profit,take_profit,True,1.16045,1.16045,1.15745,1.15745,False,False,True,,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
20,20,long,2025-10-10T13:07:00Z,2025-10-10T13:07:00Z,2025-10-10T15:13:00Z,2025-10-10T15:13:00Z,1.15671,1.15672,1.15768,1.15768,9.7,9.6,timeout,timeout,True,1.15571,1.15572,1.15871,1.15872,False,False,True,,0.1,0.0,0.1,0.0,False,False,False,False,False,False,False,within_tolerance
21,21,long,2025-10-10T15:44:00Z,2025-10-10T15:44:00Z,2025-10-10T16:04:00Z,2025-10-10T16:04:40Z,1.15737,1.15737,1.15937,1.15937,20.0,20.0,take_profit,take_profit,True,1.15637,1.15637,1.15937,1.15937,False,False,True,,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
22,22,short,2025-10-13T13:00:00Z,2025-10-13T13:00:00Z,2025-10-13T15:06:00Z,2025-10-13T15:06:00Z,1.15688,1.15688,1.15727,1.15728,-3.9,-4.0,timeout,timeout,True,1.15788,1.15788,1.15488,1.15488,False,False,True,,0.0,0.1,0.1,0.0,False,False,False,False,False,False,False,within_tolerance
24,24,long,2025-10-14T13:07:00Z,2025-10-14T13:07:00Z,2025-10-14T14:25:00Z,2025-10-14T14:25:40Z,1.15546,1.15547,1.15746,1.15747,20.0,20.0,take_profit,take_profit,True,1.15446,1.15447,1.15746,1.15747,False,False,True,,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
25,25,long,2025-10-14T14:31:00Z,2025-10-14T14:31:00Z,2025-10-14T15:47:00Z,2025-10-14T15:47:40Z,1.15749,1.1575,1.15949,1.1595,20.0,20.0,take_profit,take_profit,True,1.15649,1.1565,1.15949,1.1595,False,False,True,,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
26,26,short,2025-10-15T13:42:00Z,2025-10-15T13:42:00Z,2025-10-15T14:52:00Z,2025-10-15T14:52:40Z,1.16213,1.16213,1.16313,1.16313,-10.0,-10.0,stop_loss,stop_loss,True,1.16313,1.16313,1.16013,1.16013,False,False,True,,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
27,27,short,2025-10-15T15:08:00Z,2025-10-15T15:08:00Z,2025-10-15T16:22:00Z,2025-10-15T16:22:40Z,1.16234,1.16234,1.16334,1.16334,-10.0,-10.0,stop_loss,stop_loss,True,1.16334,1.16334,1.16034,1.16034,False,False,True,,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
28,28,short,2025-10-16T13:16:00Z,2025-10-16T13:16:00Z,2025-10-16T13:57:00Z,2025-10-16T13:57:40Z,1.16513,1.16513,1.16613,1.16613,-10.0,-10.0,stop_loss,stop_loss,True,1.16613,1.16613,1.16313,1.16313,False,False,True,,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
29,29,long,2025-10-16T14:51:00Z,2025-10-16T14:51:00Z,2025-10-16T16:57:00Z,2025-10-16T16:57:00Z,1.16614,1.16615,1.1666,1.1666,4.6,4.5,timeout,timeout,True,1.16514,1.16515,1.16814,1.16815,False,False,True,,0.1,0.0,0.1,0.0,False,False,False,False,False,False,False,within_tolerance
