expected_index,actual_index,side,expected_timestamp_utc,actual_timestamp_utc,expected_exit_timestamp_utc,actual_exit_timestamp_utc,expected_entry_price,actual_entry_price,expected_exit_price,actual_exit_price,expected_pnl_pips,actual_pnl_pips,expected_exit_reason,actual_exit_reason,exit_reason_match,expected_stop_loss_price,actual_stop_loss_price,expected_take_profit_price,actual_take_profit_price,expected_same_bar_collision,actual_same_bar_collision,same_bar_collision_match,expected_collision_resolution,baseline_expected_exit_timestamp_utc,baseline_expected_exit_price,baseline_expected_pnl_pips,baseline_expected_exit_reason,baseline_expected_stop_loss_price,baseline_expected_take_profit_price,comparison_basis,boundary_ambiguous_close_timing,entry_price_delta_pips,exit_price_delta_pips,fill_delta_pips,close_timing_delta_seconds,breach_entry_price,breach_exit_price,breach_fill_delta,breach_close_timing,breach_exit_reason,breach_same_bar_collision,breach_any,likely_cause
0,1,short,2025-10-01T16:16:00Z,2025-10-01T16:16:00Z,2025-10-01T18:40:00Z,2025-10-01T18:40:00Z,1.17365,1.17365,1.17273,1.17274,9.2,9.1,timeout,timeout,True,1.17485,1.17485,1.17145,1.17145,False,False,True,,2025-10-01T18:40:00Z,1.17273,9.2,timeout,1.17485,1.17145,actual_fill_adjusted_executable,False,0.0,0.1,0.1,0.0,False,False,False,False,False,False,False,within_tolerance
2,2,short,2025-10-03T15:22:00Z,2025-10-03T15:22:00Z,2025-10-03T17:46:00Z,2025-10-03T17:46:00Z,1.17473,1.17473,1.17386,1.17387,8.7,8.6,timeout,timeout,True,1.17593,1.17593,1.17253,1.17253,False,False,True,,2025-10-03T17:46:00Z,1.17386,8.7,timeout,1.17593,1.17253,actual_fill_adjusted_executable,False,0.0,0.1,0.1,0.0,False,False,False,False,False,False,False,within_tolerance
3,3,long,2025-10-06T13:43:00Z,2025-10-06T13:43:00Z,2025-10-06T15:09:00Z,2025-10-06T15:09:40Z,1.16828,1.16829,1.17049,1.17049,22.0,22.0,take_profit,take_profit,True,1.16709,1.16709,1.17049,1.17049,False,False,True,,2025-10-06T15:09:00Z,1.17048,22.0,take_profit,1.16708,1.17048,actual_fill_adjusted_executable,False,0.1,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
5,5,short,2025-10-07T17:36:00Z,2025-10-07T17:36:00Z,2025-10-07T20:00:00Z,2025-10-07T20:00:00Z,1.16749,1.16749,1.16577,1.16578,17.2,17.1,timeout,timeout,True,1.16869,1.16869,1.16529,1.16529,False,False,True,,2025-10-07T20:00:00Z,1.16577,17.2,timeout,1.16869,1.16529,actual_fill_adjusted_executable,False,0.0,0.1,0.1,0.0,False,False,False,False,False,False,False,within_tolerance
6,6,short,2025-10-08T13:08:00Z,2025-10-08T13:08:00Z,2025-10-08T13:34:00Z,2025-10-08T13:33:40Z,1.16258,1.16258,1.16378,1.16378,-12.0,-12.0,stop_loss,stop_loss,True,1.16378,1.16378,1.16038,1.16038,False,False,True,,2025-10-08T13:34:00Z,1.16378,-12.0,stop_loss,1.16378,1.16038,actual_fill_adjusted_executable,True,0.0,0.0,0.0,20.0,False,False,False,False,False,False,False,within_tolerance
7,7,short,2025-10-08T14:03:00Z,2025-10-08T14:03:00Z,2025-10-08T16:27:00Z,2025-10-08T16:27:00Z,1.16329,1.16329,1.16172,1.16173,15.7,15.6,timeout,timeout,True,1.16449,1.16449,1.16109,1.16109,False,False,True,,2025-10-08T16:27:00Z,1.16172,15.7,timeout,1.16449,1.16109,actual_fill_adjusted_executable,False,0.0,0.1,0.1,0.0,False,False,False,False,False,False,False,within_tolerance
8,8,short,2025-10-08T17:03:00Z,2025-10-08T17:03:00Z,2025-10-08T19:16:00Z,2025-10-08T19:16:40Z,1.16053,1.16053,1.16173,1.16173,-12.0,-12.0,stop_loss,stop_loss,True,1.16173,1.16173,1.15833,1.15833,False,False,True,,2025-10-08T19:16:00Z,1.16173,-12.0,stop_loss,1.16173,1.15833,actual_fill_adjusted_executable,False,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
9,9,short,2025-10-09T13:49:00Z,2025-10-09T13:49:00Z,2025-10-09T15:22:00Z,2025-10-09T15:22:40Z,1.16117,1.16117,1.15897,1.15897,22.0,22.0,take_profit,take_profit,True,1.16237,1.16237,1.15897,1.15897,False,False,True,,2025-10-09T15:22:00Z,1.15897,22.0,take_profit,1.16237,1.15897,actual_fill_adjusted_executable,False,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
10,10,long,2025-10-10T14:45:00Z,2025-10-10T14:45:00Z,2025-10-10T16:03:00Z,2025-10-10T16:03:40Z,1.15673,1.15674,1.15894,1.15894,22.0,22.0,take_profit,take_profit,True,1.15554,1.15554,1.15894,1.15894,False,False,True,,2025-10-10T16:03:00Z,1.15893,22.0,take_profit,1.15553,1.15893,actual_fill_adjusted_executable,False,0.1,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
11,11,long,2025-10-13T13:20:00Z,2025-10-13T13:20:00Z,2025-10-13T13:51:00Z,2025-10-13T13:51:20Z,1.15735,1.15736,1.15616,1.15616,-12.0,-12.0,stop_loss,stop_loss,True,1.15616,1.15616,1.15956,1.15956,False,False,True,,2025-10-13T15:29:00Z,1.15615,-12.0,stop_loss,1.15615,1.15955,actual_fill_adjusted_executable,False,0.1,0.0,0.0,20.0,False,False,False,False,False,False,False,within_tolerance
12,12,long,2025-10-13T16:45:00Z,2025-10-13T16:45:00Z,2025-10-13T19:09:00Z,2025-10-13T19:09:00Z,1.1571,1.15711,1.15766,1.15766,5.5,5.5,timeout,timeout,True,1.15591,1.15591,1.15931,1.15931,False,False,True,,2025-10-13T19:09:00Z,1.15766,5.6,timeout,1.1559,1.1593,actual_fill_adjusted_executable,False,0.1,0.0,0.0,0.0,False,False,False,False,False,False,False,within_tolerance
13,13,long,2025-10-14T16:45:00Z,2025-10-14T16:45:00Z,2025-10-14T19:09:00Z,2025-10-14T19:09:00Z,1.15938,1.15939,1.16107,1.16107,16.8,16.8,timeout,timeout,True,1.15819,1.15819,1.16159,1.16159,False,False,True,,2025-10-14T19:09:00Z,1.16107,16.9,timeout,1.15818,1.16158,actual_fill_adjusted_executable,False,0.1,0.0,0.0,0.0,False,False,False,False,False,False,False,within_tolerance
15,14,long,2025-10-15T15:56:00Z,2025-10-15T15:56:00Z,2025-10-15T16:45:00Z,2025-10-15T16:45:40Z,1.16239,1.1624,1.1646,1.1646,22.0,22.0,take_profit,take_profit,True,1.1612,1.1612,1.1646,1.1646,False,False,True,,2025-10-15T16:44:00Z,1.16459,22.0,take_profit,1.16119,1.16459,actual_fill_adjusted_executable,True,0.1,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
16,15,long,2025-10-16T13:02:00Z,2025-10-16T13:02:00Z,2025-10-16T15:26:00Z,2025-10-16T15:26:00Z,1.16547,1.16548,1.16674,1.16674,12.6,12.6,timeout,timeout,True,1.16428,1.16428,1.16768,1.16768,False,False,True,,2025-10-16T15:26:00Z,1.16674,12.7,timeout,1.16427,1.16767,actual_fill_adjusted_executable,False,0.1,0.0,0.0,0.0,False,False,False,False,False,False,False,within_tolerance
17,16,long,2025-10-16T15:50:00Z,2025-10-16T15:50:00Z,2025-10-16T18:14:00Z,2025-10-16T18:14:00Z,1.1672,1.16721,1.16894,1.16894,17.3,17.3,timeout,timeout,True,1.16601,1.16601,1.16941,1.16941,False,False,True,,2025-10-16T18:14:00Z,1.16894,17.4,timeout,1.166,1.1694,actual_fill_adjusted_executable,False,0.1,0.0,0.0,0.0,False,False,False,False,False,False,False,within_tolerance
18,17,long,2025-10-17T15:56:00Z,2025-10-17T15:56:00Z,2025-10-17T18:20:00Z,2025-10-17T18:20:00Z,1.16679,1.1668,1.1674,1.1674,6.0,6.0,timeout,timeout,True,1.1656,1.1656,1.169,1.169,False,False,True,,2025-10-17T18:20:00Z,1.1674,6.1,timeout,1.16559,1.16899,actual_fill_adjusted_executable,False,0.1,0.0,0.0,0.0,False,False,False,False,False,False,False,within_tolerance
19,18,long,2025-10-21T15:57:00Z,2025-10-21T15:57:00Z,2025-10-21T18:21:00Z,2025-10-21T18:21:00Z,1.16029,1.1603,1.16079,1.16079,4.9,4.9,timeout,timeout,True,1.1591,1.1591,1.1625,1.1625,False,False,True,,2025-10-21T18:21:00Z,1.16079,5.0,timeout,1.15909,1.16249,actual_fill_adjusted_executable,False,0.1,0.0,0.0,0.0,False,False,False,False,False,False,False,within_tolerance
20,19,long,2025-10-22T14:12:00Z,2025-10-22T14:12:00Z,2025-10-22T15:56:00Z,2025-10-22T15:56:40Z,1.1586,1.15861,1.16081,1.16081,22.0,22.0,take_profit,take_profit,True,1.15741,1.15741,1.16081,1.16081,False,False,True,,2025-10-22T15:56:00Z,1.1608,22.0,take_profit,1.1574,1.1608,actual_fill_adjusted_executable,False,0.1,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
21,20,short,2025-10-22T16:15:00Z,2025-10-22T16:15:00Z,2025-10-22T18:39:00Z,2025-10-22T18:39:00Z,1.16108,1.16108,1.16183,1.16184,-7.5,-7.6,timeout,timeout,True,1.16228,1.16228,1.15888,1.15888,False,False,True,,2025-10-22T18:39:00Z,1.16183,-7.5,timeout,1.16228,1.15888,actual_fill_adjusted_executable,False,0.0,0.1,0.1,0.0,False,False,False,False,False,False,False,within_tolerance
22,21,short,2025-10-23T14:51:00Z,2025-10-23T14:51:00Z,2025-10-23T15:30:00Z,2025-10-23T15:30:40Z,1.16057,1.16057,1.16177,1.16177,-12.0,-12.0,stop_loss,stop_loss,True,1.16177,1.16177,1.15837,1.15837,False,False,True,,2025-10-23T15:30:00Z,1.16177,-12.0,stop_loss,1.16177,1.15837,actual_fill_adjusted_executable,False,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
23,22,long,2025-10-24T13:28:00Z,2025-10-24T13:28:00Z,2025-10-24T13:30:00Z,2025-10-24T13:30:40Z,1.16136,1.16136,1.16356,1.16356,22.0,22.0,take_profit,take_profit,True,1.16016,1.16016,1.16356,1.16356,False,False,True,,2025-10-24T13:30:00Z,1.16356,22.0,take_profit,1.16016,1.16356,actual_fill_adjusted_executable,False,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
24,23,long,2025-10-24T17:22:00Z,2025-10-24T17:22:00Z,2025-10-24T19:46:00Z,2025-10-24T19:46:00Z,1.16266,1.16267,1.16257,1.16257,-1.0,-1.0,timeout,timeout,True,1.16147,1.16147,1.16487,1.16487,False,False,True,,2025-10-24T19:46:00Z,1.16257,-0.9,timeout,1.16146,1.16486,actual_fill_adjusted_executable,False,0.1,0.0,0.0,0.0,False,False,False,False,False,False,False,within_tolerance
25,24,long,2025-10-28T15:55:00Z,2025-10-28T15:55:00Z,2025-10-28T16:39:00Z,2025-10-28T16:39:40Z,1.16368,1.16369,1.16589,1.16589,22.0,22.0,take_profit,take_profit,True,1.16249,1.16249,1.16589,1.16589,False,False,True,,2025-10-28T16:38:00Z,1.16588,22.0,take_profit,1.16248,1.16588,actual_fill_adjusted_executable,True,0.1,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
26,25,short,2025-10-29T14:36:00Z,2025-10-29T14:36:00Z,2025-10-29T16:57:00Z,2025-10-29T16:57:40Z,1.16356,1.16356,1.16476,1.16476,-12.0,-12.0,stop_loss,stop_loss,True,1.16476,1.16476,1.16136,1.16136,False,False,True,,2025-10-29T16:57:00Z,1.16476,-12.0,stop_loss,1.16476,1.16136,actual_fill_adjusted_executable,False,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
27,26,long,2025-10-30T16:03:00Z,2025-10-30T16:03:00Z,2025-10-30T17:38:00Z,2025-10-30T17:38:40Z,1.15765,1.15765,1.15645,1.15645,-12.0,-12.0,stop_loss,stop_loss,True,1.15645,1.15645,1.15985,1.15985,False,False,True,,2025-10-30T17:38:00Z,1.15645,-12.0,stop_loss,1.15645,1.15985,actual_fill_adjusted_executable,False,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
29,27,short,2025-11-03T15:52:00Z,2025-11-03T15:52:00Z,2025-11-03T16:00:00Z,2025-11-03T16:00:40Z,1.15071,1.15071,1.15191,1.15191,-12.0,-12.0,stop_loss,stop_loss,True,1.15191,1.15191,1.14851,1.14851,False,False,True,,2025-11-03T16:00:00Z,1.15191,-12.0,stop_loss,1.15191,1.14851,actual_fill_adjusted_executable,False,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
30,28,short,2025-11-03T16:39:00Z,2025-11-03T16:39:00Z,2025-11-03T16:57:00Z,2025-11-03T16:57:40Z,1.15094,1.15094,1.15214,1.15214,-12.0,-12.0,stop_loss,stop_loss,True,1.15214,1.15214,1.14874,1.14874,False,False,True,,2025-11-03T16:57:00Z,1.15214,-12.0,stop_loss,1.15214,1.14874,actual_fill_adjusted_executable,False,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
33,29,long,2025-11-05T16:56:00Z,2025-11-05T16:56:00Z,2025-11-05T19:20:00Z,2025-11-05T19:20:00Z,1.14787,1.14788,1.14832,1.14832,4.4,4.4,timeout,timeout,True,1.14668,1.14668,1.15008,1.15008,False,False,True,,2025-11-05T19:20:00Z,1.14832,4.5,timeout,1.14667,1.15007,actual_fill_adjusted_executable,False,0.1,0.0,0.0,0.0,False,False,False,False,False,False,False,within_tolerance
35,30,long,2025-11-07T13:54:00Z,2025-11-07T13:54:00Z,2025-11-07T16:01:00Z,2025-11-07T16:01:40Z,1.15577,1.15578,1.15798,1.15798,22.0,22.0,take_profit,take_profit,True,1.15458,1.15458,1.15798,1.15798,False,False,True,,2025-11-07T16:01:00Z,1.15797,22.0,take_profit,1.15457,1.15797,actual_fill_adjusted_executable,False,0.1,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
37,31,short,2025-11-10T17:06:00Z,2025-11-10T17:06:00Z,2025-11-10T18:55:00Z,2025-11-10T18:55:40Z,1.15469,1.15469,1.15589,1.15589,-12.0,-12.0,stop_loss,stop_loss,True,1.15589,1.15589,1.15249,1.15249,False,False,True,,2025-11-10T18:55:00Z,1.15589,-12.0,stop_loss,1.15589,1.15249,actual_fill_adjusted_executable,False,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
39,32,short,2025-11-13T14:05:00Z,2025-11-13T14:05:00Z,2025-11-13T16:29:00Z,2025-11-13T16:29:00Z,1.16208,1.16208,1.16299,1.163,-9.1,-9.2,timeout,timeout,True,1.16328,1.16328,1.15988,1.15988,False,False,True,,2025-11-13T16:29:00Z,1.16299,-9.1,timeout,1.16328,1.15988,actual_fill_adjusted_executable,False,0.0,0.1,0.1,0.0,False,False,False,False,False,False,False,within_tolerance
40,33,long,2025-11-14T17:57:00Z,2025-11-14T17:57:00Z,2025-11-14T20:21:00Z,2025-11-14T20:21:00Z,1.16186,1.16187,1.16171,1.16171,-1.6,-1.6,timeout,timeout,True,1.16067,1.16067,1.16407,1.16407,False,False,True,,2025-11-14T20:21:00Z,1.16171,-1.5,timeout,1.16066,1.16406,actual_fill_adjusted_executable,False,0.1,0.0,0.0,0.0,False,False,False,False,False,False,False,within_tolerance
41,34,short,2025-11-17T14:13:00Z,2025-11-17T14:13:00Z,2025-11-17T16:37:00Z,2025-11-17T16:37:00Z,1.15954,1.15954,1.15887,1.15888,6.7,6.6,timeout,timeout,True,1.16074,1.16074,1.15734,1.15734,False,False,True,,2025-11-17T16:37:00Z,1.15887,6.7,timeout,1.16074,1.15734,actual_fill_adjusted_executable,False,0.0,0.1,0.1,0.0,False,False,False,False,False,False,False,within_tolerance
42,35,long,2025-11-18T14:36:00Z,2025-11-18T14:36:00Z,2025-11-18T16:57:00Z,2025-11-18T16:57:40Z,1.15982,1.15983,1.15863,1.15863,-12.0,-12.0,stop_loss,stop_loss,True,1.15863,1.15863,1.16203,1.16203,False,False,True,,2025-11-18T16:57:00Z,1.15862,-12.0,stop_loss,1.15862,1.16202,actual_fill_adjusted_executable,False,0.1,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
43,36,short,2025-11-20T15:55:00Z,2025-11-20T15:55:00Z,2025-11-20T18:19:00Z,2025-11-20T18:19:00Z,1.15395,1.15395,1.15352,1.15353,4.3,4.2,timeout,timeout,True,1.15515,1.15515,1.15175,1.15175,False,False,True,,2025-11-20T18:19:00Z,1.15352,4.3,timeout,1.15515,1.15175,actual_fill_adjusted_executable,False,0.0,0.1,0.1,0.0,False,False,False,False,False,False,False,within_tolerance
44,37,short,2025-11-21T14:45:00Z,2025-11-21T14:45:00Z,2025-11-21T17:03:00Z,2025-11-21T17:03:20Z,1.15191,1.15191,1.14971,1.14971,22.0,22.0,take_profit,take_profit,True,1.15311,1.15311,1.14971,1.14971,False,False,True,,2025-11-21T17:03:00Z,1.14971,22.0,take_profit,1.15311,1.14971,actual_fill_adjusted_executable,False,0.0,0.0,0.0,20.0,False,False,False,False,False,False,False,within_tolerance
46,39,long,2025-11-24T17:44:00Z,2025-11-24T17:44:00Z,2025-11-24T18:06:00Z,2025-11-24T18:06:40Z,1.15244,1.15245,1.15125,1.15125,-12.0,-12.0,stop_loss,stop_loss,True,1.15125,1.15125,1.15465,1.15465,False,False,True,,2025-11-24T18:06:00Z,1.15124,-12.0,stop_loss,1.15124,1.15464,actual_fill_adjusted_executable,False,0.1,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
48,41,short,2025-11-28T17:34:00Z,2025-11-28T17:34:00Z,2025-11-28T19:58:00Z,2025-11-28T19:58:00Z,1.15961,1.15961,1.16003,1.16003,-4.2,-4.2,timeout,timeout,True,1.16081,1.16081,1.15741,1.15741,False,False,True,,2025-11-28T19:58:00Z,1.16003,-4.2,timeout,1.16081,1.15741,actual_fill_adjusted_executable,False,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,within_tolerance
49,42,long,2025-12-01T17:07:00Z,2025-12-01T17:07:00Z,2025-12-01T18:51:00Z,2025-12-01T18:51:40Z,1.16318,1.16319,1.16199,1.16199,-12.0,-12.0,stop_loss,stop_loss,True,1.16199,1.16199,1.16539,1.16539,False,False,True,,2025-12-01T18:51:00Z,1.16198,-12.0,stop_loss,1.16198,1.16538,actual_fill_adjusted_executable,False,0.1,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
51,44,short,2025-12-03T16:03:00Z,2025-12-03T16:03:00Z,2025-12-03T18:27:00Z,2025-12-03T18:27:00Z,1.1658,1.1658,1.16633,1.16634,-5.3,-5.4,timeout,timeout,True,1.167,1.167,1.1636,1.1636,False,False,True,,2025-12-03T18:27:00Z,1.16633,-5.3,timeout,1.167,1.1636,actual_fill_adjusted_executable,False,0.0,0.1,0.1,0.0,False,False,False,False,False,False,False,within_tolerance
52,45,short,2025-12-05T16:09:00Z,2025-12-05T16:09:00Z,2025-12-05T16:37:00Z,2025-12-05T16:37:20Z,1.1647,1.1647,1.1659,1.1659,-12.0,-12.0,stop_loss,stop_loss,True,1.1659,1.1659,1.1625,1.1625,False,False,True,,2025-12-05T16:37:00Z,1.1659,-12.0,stop_loss,1.1659,1.1625,actual_fill_adjusted_executable,True,0.0,0.0,0.0,20.0,False,False,False,False,False,False,False,within_tolerance
53,46,long,2025-12-05T17:27:00Z,2025-12-05T17:27:00Z,2025-12-05T19:51:00Z,2025-12-05T19:51:00Z,1.16327,1.16328,1.16438,1.16438,11.0,11.0,timeout,timeout,True,1.16208,1.16208,1.16548,1.16548,False,False,True,,2025-12-05T19:51:00Z,1.16438,11.1,timeout,1.16207,1.16547,actual_fill_adjusted_executable,False,0.1,0.0,0.0,0.0,False,False,False,False,False,False,False,within_tolerance
54,47,long,2025-12-09T15:41:00Z,2025-12-09T15:41:00Z,2025-12-09T16:01:00Z,2025-12-09T16:01:40Z,1.16338,1.16339,1.16219,1.16219,-12.0,-12.0,stop_loss,stop_loss,True,1.16219,1.16219,1.16559,1.16559,False,False,True,,2025-12-09T16:01:00Z,1.16218,-12.0,stop_loss,1.16218,1.16558,actual_fill_adjusted_executable,False,0.1,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
55,48,long,2025-12-10T17:09:00Z,2025-12-10T17:09:00Z,2025-12-10T19:33:00Z,2025-12-10T19:33:00Z,1.1642,1.1642,1.16603,1.16603,18.3,18.3,timeout,timeout,True,1.163,1.163,1.1664,1.1664,False,False,True,,2025-12-10T19:33:00Z,1.16603,18.3,timeout,1.163,1.1664,actual_fill_adjusted_executable,False,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,within_tolerance
56,49,short,2025-12-15T16:38:00Z,2025-12-15T16:38:00Z,2025-12-15T19:02:00Z,2025-12-15T19:02:00Z,1.17596,1.17596,1.17444,1.17445,15.2,15.1,timeout,timeout,True,1.17716,1.17716,1.17376,1.17376,False,False,True,,2025-12-15T19:02:00Z,1.17444,15.2,timeout,1.17716,1.17376,actual_fill_adjusted_executable,False,0.0,0.1,0.1,0.0,False,False,False,False,False,False,False,within_tolerance
