expected_index,actual_index,side,expected_timestamp_utc,actual_timestamp_utc,expected_exit_timestamp_utc,actual_exit_timestamp_utc,expected_entry_price,actual_entry_price,expected_exit_price,actual_exit_price,expected_pnl_pips,actual_pnl_pips,expected_exit_reason,actual_exit_reason,exit_reason_match,expected_stop_loss_price,actual_stop_loss_price,expected_take_profit_price,actual_take_profit_price,expected_same_bar_collision,actual_same_bar_collision,same_bar_collision_match,expected_collision_resolution,baseline_expected_exit_timestamp_utc,baseline_expected_exit_price,baseline_expected_pnl_pips,baseline_expected_exit_reason,baseline_expected_stop_loss_price,baseline_expected_take_profit_price,comparison_basis,boundary_ambiguous_close_timing,boundary_ambiguous_exit_semantics,entry_price_delta_pips,exit_price_delta_pips,fill_delta_pips,close_timing_delta_seconds,breach_entry_price,breach_exit_price,breach_fill_delta,breach_close_timing,breach_exit_reason,breach_same_bar_collision,breach_any,likely_cause
0,2,short,2025-10-01T08:22:00Z,2025-10-01T08:22:00Z,2025-10-01T08:42:00Z,2025-10-01T08:42:40Z,1.1768,1.1768,1.1744,1.1744,24.0,24.0,take_profit,take_profit,True,1.1775,1.1775,1.1744,1.1744,False,False,True,,2025-10-01T08:42:00Z,1.1744,24.0,take_profit,1.1775,1.1744,baseline_executable,False,False,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
1,3,short,2025-10-01T08:43:00Z,2025-10-01T08:43:00Z,2025-10-01T08:49:00Z,2025-10-01T08:49:40Z,1.1743,1.1743,1.175,1.175,-7.0,-7.0,stop_loss,stop_loss,True,1.175,1.175,1.1719,1.1719,False,False,True,,2025-10-01T08:49:00Z,1.175,-7.0,stop_loss,1.175,1.1719,baseline_executable,False,False,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
2,4,long,2025-10-01T08:54:00Z,2025-10-01T08:54:00Z,2025-10-01T10:08:00Z,2025-10-01T10:08:20Z,1.17536,1.17537,1.17466,1.17467,-7.0,-7.0,stop_loss,stop_loss,True,1.17466,1.17467,1.17776,1.17777,False,False,True,,2025-10-01T10:08:00Z,1.17466,-7.0,stop_loss,1.17466,1.17776,baseline_executable,False,False,0.1,0.1,0.0,20.0,False,False,False,False,False,False,False,within_tolerance
3,5,short,2025-10-01T10:09:00Z,2025-10-01T10:09:00Z,2025-10-01T11:20:00Z,2025-10-01T11:20:40Z,1.17486,1.17486,1.17246,1.17246,24.0,24.0,take_profit,take_profit,True,1.17556,1.17556,1.17246,1.17246,False,False,True,,2025-10-01T11:20:00Z,1.17246,24.0,take_profit,1.17556,1.17246,baseline_executable,False,False,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
4,6,short,2025-10-01T11:21:00Z,2025-10-01T11:21:00Z,2025-10-01T11:50:00Z,2025-10-01T11:50:40Z,1.1723,1.1723,1.173,1.173,-7.0,-7.0,stop_loss,stop_loss,True,1.173,1.173,1.1699,1.1699,False,False,True,,2025-10-01T11:50:00Z,1.173,-7.0,stop_loss,1.173,1.1699,baseline_executable,False,False,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
5,7,long,2025-10-01T11:51:00Z,2025-10-01T11:51:00Z,2025-10-01T11:55:00Z,2025-10-01T11:55:40Z,1.17299,1.17299,1.17229,1.17229,-7.0,-7.0,stop_loss,stop_loss,True,1.17229,1.17229,1.17539,1.17539,False,False,True,,2025-10-01T11:55:00Z,1.17229,-7.0,stop_loss,1.17229,1.17539,baseline_executable,False,False,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
6,8,short,2025-10-01T11:56:00Z,2025-10-01T11:56:00Z,2025-10-01T12:02:00Z,2025-10-01T12:02:40Z,1.17207,1.17207,1.17277,1.17277,-7.0,-7.0,stop_loss,stop_loss,True,1.17277,1.17277,1.16967,1.16967,False,False,True,,2025-10-01T12:02:00Z,1.17277,-7.0,stop_loss,1.17277,1.16967,baseline_executable,False,False,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
7,9,long,2025-10-01T12:08:00Z,2025-10-01T12:08:00Z,2025-10-01T13:15:00Z,2025-10-01T13:15:40Z,1.17287,1.17288,1.17527,1.17528,24.0,24.0,take_profit,take_profit,True,1.17217,1.17218,1.17527,1.17528,False,False,True,,2025-10-01T13:15:00Z,1.17527,24.0,take_profit,1.17217,1.17527,baseline_executable,False,False,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
8,10,long,2025-10-01T13:16:00Z,2025-10-01T13:16:00Z,2025-10-01T15:14:00Z,2025-10-01T15:14:40Z,1.17484,1.17485,1.17414,1.17415,-7.0,-7.0,stop_loss,stop_loss,True,1.17414,1.17415,1.17724,1.17725,False,False,True,,2025-10-01T15:14:00Z,1.17414,-7.0,stop_loss,1.17414,1.17724,baseline_executable,False,False,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
9,11,long,2025-10-02T08:00:00Z,2025-10-02T08:00:00Z,2025-10-02T10:30:00Z,2025-10-02T10:30:00Z,1.1743,1.17431,1.17559,1.17559,12.9,12.8,timeout,timeout,True,1.1736,1.17361,1.1767,1.17671,False,False,True,,2025-10-02T10:30:00Z,1.17559,12.9,timeout,1.1736,1.1767,baseline_executable,False,False,0.1,0.0,0.1,0.0,False,False,False,False,False,False,False,within_tolerance
10,12,short,2025-10-02T10:36:00Z,2025-10-02T10:36:00Z,2025-10-02T13:06:00Z,2025-10-02T13:06:00Z,1.17544,1.17544,1.17558,1.17559,-1.4,-1.5,timeout,timeout,True,1.17614,1.17614,1.17304,1.17304,False,False,True,,2025-10-02T13:06:00Z,1.17558,-1.4,timeout,1.17614,1.17304,baseline_executable,False,False,0.0,0.1,0.1,0.0,False,False,False,False,False,False,False,within_tolerance
11,13,long,2025-10-02T13:07:00Z,2025-10-02T13:07:00Z,2025-10-02T13:26:00Z,2025-10-02T13:25:40Z,1.1756,1.17561,1.1749,1.17491,-7.0,-7.0,stop_loss,stop_loss,True,1.1749,1.17491,1.178,1.17801,False,False,True,,2025-10-02T13:26:00Z,1.1749,-7.0,stop_loss,1.1749,1.178,baseline_executable,False,False,0.1,0.1,0.0,20.0,False,False,False,False,False,False,False,within_tolerance
12,14,short,2025-10-02T13:26:00Z,2025-10-02T13:26:00Z,2025-10-02T14:43:00Z,2025-10-02T14:43:40Z,1.17504,1.17504,1.17264,1.17264,24.0,24.0,take_profit,take_profit,True,1.17574,1.17574,1.17264,1.17264,False,False,True,,2025-10-02T14:43:00Z,1.17264,24.0,take_profit,1.17574,1.17264,baseline_executable,False,False,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
13,15,long,2025-10-03T08:01:00Z,2025-10-03T08:01:00Z,2025-10-03T10:31:00Z,2025-10-03T10:31:00Z,1.17221,1.17222,1.17349,1.17349,12.8,12.7,timeout,timeout,True,1.17151,1.17152,1.17461,1.17462,False,False,True,,2025-10-03T10:31:00Z,1.17349,12.8,timeout,1.17151,1.17461,baseline_executable,False,False,0.1,0.0,0.1,0.0,False,False,False,False,False,False,False,within_tolerance
14,16,long,2025-10-03T10:46:00Z,2025-10-03T10:46:00Z,2025-10-03T12:12:00Z,2025-10-03T12:12:20Z,1.17392,1.17392,1.17322,1.17322,-7.0,-7.0,stop_loss,stop_loss,True,1.17322,1.17322,1.17632,1.17632,False,False,True,,2025-10-03T12:12:00Z,1.17322,-7.0,stop_loss,1.17322,1.17632,baseline_executable,False,False,0.0,0.0,0.0,20.0,False,False,False,False,False,False,False,within_tolerance
15,17,short,2025-10-03T12:13:00Z,2025-10-03T12:13:00Z,2025-10-03T12:35:00Z,2025-10-03T12:35:40Z,1.17342,1.17342,1.17412,1.17412,-7.0,-7.0,stop_loss,stop_loss,True,1.17412,1.17412,1.17102,1.17102,False,False,True,,2025-10-03T12:35:00Z,1.17412,-7.0,stop_loss,1.17412,1.17102,baseline_executable,False,False,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
16,18,long,2025-10-03T12:36:00Z,2025-10-03T12:36:00Z,2025-10-03T12:57:00Z,2025-10-03T12:57:40Z,1.17417,1.17418,1.17347,1.17348,-7.0,-7.0,stop_loss,stop_loss,True,1.17347,1.17348,1.17657,1.17658,False,False,True,,2025-10-03T12:57:00Z,1.17347,-7.0,stop_loss,1.17347,1.17657,baseline_executable,False,False,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
17,19,short,2025-10-03T12:58:00Z,2025-10-03T12:58:00Z,2025-10-03T14:20:00Z,2025-10-03T14:20:20Z,1.17353,1.17353,1.17423,1.17423,-7.0,-7.0,stop_loss,stop_loss,True,1.17423,1.17423,1.17113,1.17113,False,False,True,,2025-10-03T14:20:00Z,1.17423,-7.0,stop_loss,1.17423,1.17113,baseline_executable,False,False,0.0,0.0,0.0,20.0,False,False,False,False,False,False,False,within_tolerance
18,20,short,2025-10-06T08:01:00Z,2025-10-06T08:01:00Z,2025-10-06T08:05:00Z,2025-10-06T08:05:40Z,1.16928,1.16928,1.16998,1.16998,-7.0,-7.0,stop_loss,stop_loss,True,1.16998,1.16998,1.16688,1.16688,False,False,True,,2025-10-06T08:05:00Z,1.16998,-7.0,stop_loss,1.16998,1.16688,baseline_executable,False,False,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
19,21,long,2025-10-06T08:06:00Z,2025-10-06T08:06:00Z,2025-10-06T08:41:00Z,2025-10-06T08:41:40Z,1.16999,1.17,1.16929,1.1693,-7.0,-7.0,stop_loss,stop_loss,True,1.16929,1.1693,1.17239,1.1724,False,False,True,,2025-10-06T08:41:00Z,1.16929,-7.0,stop_loss,1.16929,1.17239,baseline_executable,False,False,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
20,22,short,2025-10-06T08:42:00Z,2025-10-06T08:42:00Z,2025-10-06T09:00:00Z,2025-10-06T09:00:40Z,1.16857,1.16857,1.16617,1.16617,24.0,24.0,take_profit,take_profit,True,1.16927,1.16927,1.16617,1.16617,False,False,True,,2025-10-06T09:00:00Z,1.16617,24.0,take_profit,1.16927,1.16617,baseline_executable,False,False,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
21,23,short,2025-10-06T09:01:00Z,2025-10-06T09:01:00Z,2025-10-06T09:29:00Z,2025-10-06T09:29:40Z,1.16609,1.16609,1.16679,1.16679,-7.0,-7.0,stop_loss,stop_loss,True,1.16679,1.16679,1.16369,1.16369,False,False,True,,2025-10-06T09:29:00Z,1.16679,-7.0,stop_loss,1.16679,1.16369,baseline_executable,False,False,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
22,24,long,2025-10-06T09:30:00Z,2025-10-06T09:30:00Z,2025-10-06T10:09:00Z,2025-10-06T10:09:40Z,1.16676,1.16677,1.16606,1.16607,-7.0,-7.0,stop_loss,stop_loss,True,1.16606,1.16607,1.16916,1.16917,False,False,True,,2025-10-06T10:09:00Z,1.16606,-7.0,stop_loss,1.16606,1.16916,baseline_executable,False,False,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
23,25,short,2025-10-06T10:10:00Z,2025-10-06T10:10:00Z,2025-10-06T10:37:00Z,2025-10-06T10:37:40Z,1.16603,1.16603,1.16673,1.16673,-7.0,-7.0,stop_loss,stop_loss,True,1.16673,1.16673,1.16363,1.16363,False,False,True,,2025-10-06T10:37:00Z,1.16673,-7.0,stop_loss,1.16673,1.16363,baseline_executable,False,False,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
24,26,long,2025-10-06T10:38:00Z,2025-10-06T10:38:00Z,2025-10-06T10:43:00Z,2025-10-06T10:43:40Z,1.16661,1.16661,1.16591,1.16591,-7.0,-7.0,stop_loss,stop_loss,True,1.16591,1.16591,1.16901,1.16901,False,False,True,,2025-10-06T10:43:00Z,1.16591,-7.0,stop_loss,1.16591,1.16901,baseline_executable,False,False,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
25,27,short,2025-10-06T10:44:00Z,2025-10-06T10:44:00Z,2025-10-06T10:51:00Z,2025-10-06T10:51:20Z,1.16595,1.16595,1.16665,1.16665,-7.0,-7.0,stop_loss,stop_loss,True,1.16665,1.16665,1.16355,1.16355,False,False,True,,2025-10-06T10:51:00Z,1.16665,-7.0,stop_loss,1.16665,1.16355,baseline_executable,False,False,0.0,0.0,0.0,20.0,False,False,False,False,False,False,False,within_tolerance
26,28,long,2025-10-06T10:56:00Z,2025-10-06T10:56:00Z,2025-10-06T11:05:00Z,2025-10-06T11:05:20Z,1.16658,1.16659,1.16588,1.16589,-7.0,-7.0,stop_loss,stop_loss,True,1.16588,1.16589,1.16898,1.16899,False,False,True,,2025-10-06T11:05:00Z,1.16588,-7.0,stop_loss,1.16588,1.16898,baseline_executable,False,False,0.1,0.1,0.0,20.0,False,False,False,False,False,False,False,within_tolerance
27,29,short,2025-10-06T11:06:00Z,2025-10-06T11:06:00Z,2025-10-06T12:14:00Z,2025-10-06T12:14:40Z,1.16607,1.16607,1.16677,1.16677,-7.0,-7.0,stop_loss,stop_loss,True,1.16677,1.16677,1.16367,1.16367,False,False,True,,2025-10-06T12:14:00Z,1.16677,-7.0,stop_loss,1.16677,1.16367,baseline_executable,False,False,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
28,30,long,2025-10-06T12:15:00Z,2025-10-06T12:15:00Z,2025-10-06T14:03:00Z,2025-10-06T14:03:40Z,1.1668,1.16681,1.1692,1.16921,24.0,24.0,take_profit,take_profit,True,1.1661,1.16611,1.1692,1.16921,False,False,True,,2025-10-06T14:03:00Z,1.1692,24.0,take_profit,1.1661,1.1692,baseline_executable,False,False,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
29,31,short,2025-10-07T08:02:00Z,2025-10-07T08:02:00Z,2025-10-07T10:32:00Z,2025-10-07T10:32:00Z,1.16856,1.16856,1.16658,1.16659,19.8,19.7,timeout,timeout,True,1.16926,1.16926,1.16616,1.16616,False,False,True,,2025-10-07T10:32:00Z,1.16658,19.8,timeout,1.16926,1.16616,baseline_executable,False,False,0.0,0.1,0.1,0.0,False,False,False,False,False,False,False,within_tolerance
30,32,short,2025-10-07T10:40:00Z,2025-10-07T10:40:00Z,2025-10-07T11:08:00Z,2025-10-07T11:08:40Z,1.16621,1.16621,1.16691,1.16691,-7.0,-7.0,stop_loss,stop_loss,True,1.16691,1.16691,1.16381,1.16381,False,False,True,,2025-10-07T11:08:00Z,1.16691,-7.0,stop_loss,1.16691,1.16381,baseline_executable,False,False,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
32,33,short,2025-10-07T12:22:00Z,2025-10-07T12:22:00Z,2025-10-07T14:07:00Z,2025-10-07T14:07:40Z,1.16625,1.16625,1.16695,1.16695,-7.0,-7.0,stop_loss,stop_loss,True,1.16695,1.16695,1.16385,1.16385,False,False,True,,2025-10-07T14:07:00Z,1.16695,-7.0,stop_loss,1.16695,1.16385,baseline_executable,False,False,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
33,34,long,2025-10-08T08:08:00Z,2025-10-08T08:08:00Z,2025-10-08T09:57:00Z,2025-10-08T08:19:40Z,1.16187,1.16188,1.16117,1.16118,-7.0,-7.0,stop_loss,stop_loss,True,1.16117,1.16118,1.16427,1.16428,False,False,True,,2025-10-08T09:57:00Z,1.16117,-7.0,stop_loss,1.16117,1.16427,baseline_executable,False,False,0.1,0.1,0.0,5840.0,False,False,False,True,False,False,True,timeout_or_bar_close_drift
34,35,short,2025-10-08T08:20:00Z,2025-10-08T08:20:00Z,2025-10-08T08:27:00Z,2025-10-08T08:27:40Z,1.16119,1.16119,1.16189,1.16189,-7.0,-7.0,stop_loss,stop_loss,True,1.16189,1.16189,1.15879,1.15879,False,False,True,,2025-10-08T08:27:00Z,1.16189,-7.0,stop_loss,1.16189,1.15879,baseline_executable,False,False,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
35,36,long,2025-10-08T08:28:00Z,2025-10-08T08:28:00Z,2025-10-08T09:57:00Z,2025-10-08T09:57:40Z,1.16189,1.1619,1.16119,1.1612,-7.0,-7.0,stop_loss,stop_loss,True,1.16119,1.1612,1.16429,1.1643,False,False,True,,2025-10-08T09:57:00Z,1.16119,-7.0,stop_loss,1.16119,1.16429,baseline_executable,False,False,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
36,37,short,2025-10-08T09:58:00Z,2025-10-08T09:58:00Z,2025-10-08T10:14:00Z,2025-10-08T10:14:40Z,1.16132,1.16132,1.16202,1.16202,-7.0,-7.0,stop_loss,stop_loss,True,1.16202,1.16202,1.15892,1.15892,False,False,True,,2025-10-08T10:14:00Z,1.16202,-7.0,stop_loss,1.16202,1.15892,baseline_executable,False,False,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
37,38,long,2025-10-08T10:15:00Z,2025-10-08T10:15:00Z,2025-10-08T10:33:00Z,2025-10-08T10:33:40Z,1.16201,1.16202,1.16131,1.16132,-7.0,-7.0,stop_loss,stop_loss,True,1.16131,1.16132,1.16441,1.16442,False,False,True,,2025-10-08T10:33:00Z,1.16131,-7.0,stop_loss,1.16131,1.16441,baseline_executable,False,False,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
